frame,timestamp,ID_1_x,ID_1_y,ID_1_dim1,ID_2_x,ID_2_y,ID_2_dim1
1,2026-02-11 09:27:24,,,,,,
2,2026-02-11 09:27:24,,,,,,
3,2026-02-11 09:27:24,,,,,,
4,2026-02-11 09:27:24,,,,,,
5,2026-02-11 09:27:24,,,,,,
6,2026-02-11 09:27:24,,,,,,
7,2026-02-11 09:27:25,390.9390400455349,201.44230205980585,0.0,541.4047615371023,366.0231203794619,0.0
8,2026-02-11 09:27:25,390.6364524308866,201.8014157644264,0.0,541.0475166515457,366.02559301285294,0.0
9,2026-02-11 09:27:25,390.9390400455349,201.44230205980585,0.0,540.2723219542291,365.58111263773736,0.0
10,2026-02-11 09:27:25,390.3049977637192,201.4479712720988,0.0,,,
11,2026-02-11 09:27:25,390.9390400455349,201.44230205980585,0.0,541.1084799710566,366.4752882879591,0.0
12,2026-02-11 09:27:25,390.6220176788624,201.44513667691237,0.0,541.0475166515457,366.02559301285294,0.0
13,2026-02-11 09:27:25,390.6220176788624,201.44513667691237,0.0,541.4047615371023,366.0231203794619,0.0
14,2026-02-11 09:27:25,390.29065444817564,201.09188106396778,0.0,541.0475166515457,366.02559301285294,0.0
15,2026-02-11 09:27:25,390.3049977637192,201.4479712720988,0.0,541.0475166515457,366.02559301285294,0.0
16,2026-02-11 09:27:25,390.3049977637192,201.4479712720988,0.0,541.4047615371023,366.0231203794619,0.0
17,2026-02-11 09:27:25,390.6364524308866,201.8014157644264,0.0,541.4047615371023,366.0231203794619,0.0
18,2026-02-11 09:27:26,390.6220176788624,201.44513667691237,0.0,541.4047615371023,366.0231203794619,0.0
19,2026-02-11 09:27:26,390.3049977637192,201.4479712720988,0.0,540.9865895632539,365.5761649969469,0.0
20,2026-02-11 09:27:26,390.9390400455349,201.44230205980585,0.0,540.5079212457258,364.68058605432174,0.0
21,2026-02-11 09:27:26,391.2560648637652,201.43946742077907,0.0,540.2723219542291,365.58111263773736,0.0
22,2026-02-11 09:27:26,390.6364524308866,201.8014157644264,0.0,540.5686696741888,365.12947905059156,0.0
23,2026-02-11 09:27:26,390.31934866200356,201.80424973096711,0.0,540.2723219542291,365.58111263773736,0.0
24,2026-02-11 09:27:26,390.6364524308866,201.8014157644264,0.0,541.3437280260267,365.57369114428457,0.0
25,2026-02-11 09:27:26,,,,,,
26,2026-02-11 09:27:26,390.002247345918,201.80708367558714,0.0,540.5686696741888,365.12947905059156,0.0
27,2026-02-11 09:27:26,390.31934866200356,201.80424973096711,0.0,541.3437280260267,365.57369114428457,0.0
28,2026-02-11 09:27:26,390.6220176788624,201.44513667691237,0.0,541.4047615371023,366.0231203794619,0.0
29,2026-02-11 09:27:27,390.9390400455349,201.44230205980585,0.0,541.4047615371023,366.0231203794619,0.0
30,2026-02-11 09:27:27,389.98798030007697,201.45080584536544,0.0,541.4047615371023,366.0231203794619,0.0
