frame,timestamp,ID_2_x,ID_2_y,ID_2_dim1,ID_0_x,ID_0_y,ID_0_dim1,ID_4_x,ID_4_y,ID_4_dim1,ID_1_x,ID_1_y,ID_1_dim1
1,2026-02-11 14:39:38,484.11820932364867,375.6345053365948,0.0,103.69480579318929,394.06995491489687,0.0,,,,,,
2,2026-02-11 14:39:38,,,,103.42625140230894,394.48657464088706,0.0,,,,,,
3,2026-02-11 14:39:38,484.11820932364867,375.6345053365948,0.0,103.69480579318929,394.06995491489687,0.0,,,,,,
4,2026-02-11 14:39:38,483.7740192669913,375.637157089968,0.0,103.42625140230894,394.48657464088706,0.0,,,,,,
5,2026-02-11 14:39:38,483.7740192669913,375.637157089968,0.0,103.76939176827068,394.4838748822424,0.0,,,,,,
6,2026-02-11 14:39:39,483.7740192669913,375.637157089968,0.0,104.18697488655346,394.89485809552593,0.0,,,,,,
7,2026-02-11 14:39:39,483.7740192669913,375.637157089968,0.0,104.11252971606564,394.48117514262333,0.0,537.2270587064055,563.0416349666982,0.0,,,
8,2026-02-11 14:39:39,484.4623969377825,375.63185360203954,0.0,102.81480147326397,394.9056599142562,0.0,,,,,,
9,2026-02-11 14:39:39,,,,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
10,2026-02-11 14:39:39,484.11820932364867,375.6345053365948,0.0,102.81480147326397,394.9056599142562,0.0,,,,,,
11,2026-02-11 14:39:39,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
12,2026-02-11 14:39:39,484.11820932364867,375.6345053365948,0.0,102.39681579516844,394.49467403097697,0.0,537.2270587064055,563.0416349666982,0.0,,,
13,2026-02-11 14:39:39,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
14,2026-02-11 14:39:39,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
15,2026-02-11 14:39:39,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
16,2026-02-11 14:39:39,,,,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
17,2026-02-11 14:39:39,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
18,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
19,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
20,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.1838926160137,563.3623789014862,0.0,,,
21,2026-02-11 14:39:40,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
22,2026-02-11 14:39:40,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
23,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
24,2026-02-11 14:39:40,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
25,2026-02-11 14:39:40,,,,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
26,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
27,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
28,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
29,2026-02-11 14:39:40,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
30,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.52677526051,563.0387452250324,0.0,,,
31,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
32,2026-02-11 14:39:41,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
33,2026-02-11 14:39:41,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
34,2026-02-11 14:39:41,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
35,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
36,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
37,2026-02-11 14:39:41,,,,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
38,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.52677526051,563.0387452250324,0.0,,,
39,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
40,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
41,2026-02-11 14:39:41,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
42,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
43,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
44,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
45,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
46,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
47,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,,,,,,
48,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.52677526051,563.0387452250324,0.0,,,
49,2026-02-11 14:39:42,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
50,2026-02-11 14:39:42,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
51,2026-02-11 14:39:42,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.52677526051,563.0387452250324,0.0,,,
52,2026-02-11 14:39:42,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.52677526051,563.0387452250324,0.0,,,
53,2026-02-11 14:39:42,484.11820932364867,375.6345053365948,0.0,102.81480147326397,394.9056599142562,0.0,,,,,,
54,2026-02-11 14:39:43,484.11820932364867,375.6345053365948,0.0,102.81480147326397,394.9056599142562,0.0,,,,,,
55,2026-02-11 14:39:43,483.7740192669913,375.637157089968,0.0,102.81480147326397,394.9056599142562,0.0,537.2270587064055,563.0416349666982,0.0,,,
56,2026-02-11 14:39:43,484.11820932364867,375.6345053365948,0.0,102.81480147326397,394.9056599142562,0.0,537.52677526051,563.0387452250324,0.0,,,
57,2026-02-11 14:39:43,484.11820932364867,375.6345053365948,0.0,102.81480147326397,394.9056599142562,0.0,537.52677526051,563.0387452250324,0.0,,,
58,2026-02-11 14:39:43,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
59,2026-02-11 14:39:43,484.11820932364867,375.6345053365948,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
60,2026-02-11 14:39:43,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
61,2026-02-11 14:39:43,483.7740192669913,375.637157089968,0.0,102.81480147326397,394.9056599142562,0.0,537.52677526051,563.0387452250324,0.0,,,
62,2026-02-11 14:39:43,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
63,2026-02-11 14:39:43,483.7740192669913,375.637157089968,0.0,102.47175207785301,394.90836041650243,0.0,537.2270587064055,563.0416349666982,0.0,,,
