frame,timestamp,ID_47_x,ID_47_y,ID_47_dim1,ID_44_x,ID_44_y,ID_44_dim1,ID_49_x,ID_49_y,ID_49_dim1
1,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.1728329480909,557.3910881337634,0.0,,,
2,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,,,
3,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,,,
4,2025-07-22 15:47:24,,,,,,,,,
5,2025-07-22 15:47:24,538.1682971205921,355.6339172751109,0.0,477.22035345235065,557.962159502951,0.0,,,
6,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.62293938044894,557.9573367396578,0.0,,,
7,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
8,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
9,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9804879741077,161.1187733051226,0.0
10,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
11,2025-07-22 15:47:24,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
12,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,601.2209795007238,160.77907371082037,0.0
13,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,601.2209795007238,160.77907371082037,0.0
14,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
15,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
16,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
17,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
18,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,601.2895494955893,161.11464539884264,0.0
19,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
20,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9804879741077,161.1187733051226,0.0
21,2025-07-22 15:47:25,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
22,2025-07-22 15:47:26,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
23,2025-07-22 15:47:26,537.8133966392099,355.6384180018357,0.0,477.22035345235065,557.962159502951,0.0,600.9119980197321,160.78320091011622,0.0
