frame,timestamp
1,2026-02-11 10:30:33
2,2026-02-11 10:30:33
3,2026-02-11 10:30:33
4,2026-02-11 10:30:33
5,2026-02-11 10:30:33
6,2026-02-11 10:30:33
7,2026-02-11 10:30:33
8,2026-02-11 10:30:34
9,2026-02-11 10:30:34
10,2026-02-11 10:30:34
11,2026-02-11 10:30:34
12,2026-02-11 10:30:34
13,2026-02-11 10:30:34
14,2026-02-11 10:30:34
15,2026-02-11 10:30:34
16,2026-02-11 10:30:34
17,2026-02-11 10:30:34
18,2026-02-11 10:30:34
19,2026-02-11 10:30:34
20,2026-02-11 10:30:34
21,2026-02-11 10:30:34
22,2026-02-11 10:30:35
23,2026-02-11 10:30:35
24,2026-02-11 10:30:35
25,2026-02-11 10:30:35
26,2026-02-11 10:30:35
27,2026-02-11 10:30:35
28,2026-02-11 10:30:35
29,2026-02-11 10:30:35
30,2026-02-11 10:30:35
31,2026-02-11 10:30:35
32,2026-02-11 10:30:35
33,2026-02-11 10:30:35
34,2026-02-11 10:30:35
35,2026-02-11 10:30:35
36,2026-02-11 10:30:36
37,2026-02-11 10:30:36
38,2026-02-11 10:30:36
39,2026-02-11 10:30:36
40,2026-02-11 10:30:36
41,2026-02-11 10:30:36
42,2026-02-11 10:30:36
43,2026-02-11 10:30:36
44,2026-02-11 10:30:36
45,2026-02-11 10:30:36
46,2026-02-11 10:30:36
47,2026-02-11 10:30:36
48,2026-02-11 10:30:36
49,2026-02-11 10:30:36
50,2026-02-11 10:30:36
51,2026-02-11 10:30:37
52,2026-02-11 10:30:37
53,2026-02-11 10:30:37
54,2026-02-11 10:30:37
55,2026-02-11 10:30:37
56,2026-02-11 10:30:37
57,2026-02-11 10:30:37
58,2026-02-11 10:30:37
59,2026-02-11 10:30:37
60,2026-02-11 10:30:37
61,2026-02-11 10:30:37
62,2026-02-11 10:30:37
63,2026-02-11 10:30:37
64,2026-02-11 10:30:37
65,2026-02-11 10:30:38
66,2026-02-11 10:30:38
67,2026-02-11 10:30:38
68,2026-02-11 10:30:38
69,2026-02-11 10:30:38
70,2026-02-11 10:30:38
71,2026-02-11 10:30:38
72,2026-02-11 10:30:38
73,2026-02-11 10:30:38
74,2026-02-11 10:30:38
75,2026-02-11 10:30:38
76,2026-02-11 10:30:38
77,2026-02-11 10:30:38
78,2026-02-11 10:30:38
79,2026-02-11 10:30:39
80,2026-02-11 10:30:39
81,2026-02-11 10:30:39
82,2026-02-11 10:30:39
83,2026-02-11 10:30:39
84,2026-02-11 10:30:39
85,2026-02-11 10:30:39
86,2026-02-11 10:30:39
87,2026-02-11 10:30:39
88,2026-02-11 10:30:39
89,2026-02-11 10:30:39
90,2026-02-11 10:30:39
91,2026-02-11 10:30:39
92,2026-02-11 10:30:39
93,2026-02-11 10:30:39
94,2026-02-11 10:30:40
95,2026-02-11 10:30:40
96,2026-02-11 10:30:40
97,2026-02-11 10:30:40
98,2026-02-11 10:30:40
99,2026-02-11 10:30:40
100,2026-02-11 10:30:40
101,2026-02-11 10:30:40
102,2026-02-11 10:30:40
103,2026-02-11 10:30:40
104,2026-02-11 10:30:40
105,2026-02-11 10:30:40
106,2026-02-11 10:30:40
107,2026-02-11 10:30:40
108,2026-02-11 10:30:41
109,2026-02-11 10:30:41
110,2026-02-11 10:30:41
111,2026-02-11 10:30:41
112,2026-02-11 10:30:41
113,2026-02-11 10:30:41
114,2026-02-11 10:30:41
115,2026-02-11 10:30:41
116,2026-02-11 10:30:41
117,2026-02-11 10:30:41
118,2026-02-11 10:30:41
119,2026-02-11 10:30:41
120,2026-02-11 10:30:41
121,2026-02-11 10:30:41
122,2026-02-11 10:30:42
123,2026-02-11 10:30:42
124,2026-02-11 10:30:42
125,2026-02-11 10:30:42
126,2026-02-11 10:30:42
127,2026-02-11 10:30:42
128,2026-02-11 10:30:42
129,2026-02-11 10:30:42
130,2026-02-11 10:30:42
131,2026-02-11 10:30:42
132,2026-02-11 10:30:42
133,2026-02-11 10:30:42
134,2026-02-11 10:30:42
135,2026-02-11 10:30:42
136,2026-02-11 10:30:43
137,2026-02-11 10:30:43
138,2026-02-11 10:30:43
139,2026-02-11 10:30:43
140,2026-02-11 10:30:43
141,2026-02-11 10:30:43
142,2026-02-11 10:30:43
143,2026-02-11 10:30:43
144,2026-02-11 10:30:43
145,2026-02-11 10:30:43
146,2026-02-11 10:30:43
147,2026-02-11 10:30:43
148,2026-02-11 10:30:43
149,2026-02-11 10:30:43
150,2026-02-11 10:30:43
151,2026-02-11 10:30:44
152,2026-02-11 10:30:44
153,2026-02-11 10:30:44
154,2026-02-11 10:30:44
155,2026-02-11 10:30:44
156,2026-02-11 10:30:44
157,2026-02-11 10:30:44
158,2026-02-11 10:30:44
159,2026-02-11 10:30:44
160,2026-02-11 10:30:44
161,2026-02-11 10:30:44
162,2026-02-11 10:30:44
163,2026-02-11 10:30:44
164,2026-02-11 10:30:44
165,2026-02-11 10:30:45
166,2026-02-11 10:30:45
167,2026-02-11 10:30:45
168,2026-02-11 10:30:45
169,2026-02-11 10:30:45
170,2026-02-11 10:30:45
171,2026-02-11 10:30:45
172,2026-02-11 10:30:45
173,2026-02-11 10:30:45
174,2026-02-11 10:30:45
175,2026-02-11 10:30:45
176,2026-02-11 10:30:45
177,2026-02-11 10:30:45
178,2026-02-11 10:30:45
179,2026-02-11 10:30:46
180,2026-02-11 10:30:46
181,2026-02-11 10:30:46
182,2026-02-11 10:30:46
183,2026-02-11 10:30:46
184,2026-02-11 10:30:46
185,2026-02-11 10:30:46
186,2026-02-11 10:30:46
187,2026-02-11 10:30:46
188,2026-02-11 10:30:46
189,2026-02-11 10:30:46
190,2026-02-11 10:30:46
191,2026-02-11 10:30:46
192,2026-02-11 10:30:46
193,2026-02-11 10:30:46
194,2026-02-11 10:30:47
195,2026-02-11 10:30:47
196,2026-02-11 10:30:47
197,2026-02-11 10:30:47
198,2026-02-11 10:30:47
199,2026-02-11 10:30:47
200,2026-02-11 10:30:47
201,2026-02-11 10:30:47
202,2026-02-11 10:30:47
203,2026-02-11 10:30:47
204,2026-02-11 10:30:47
205,2026-02-11 10:30:47
206,2026-02-11 10:30:47
207,2026-02-11 10:30:47
208,2026-02-11 10:30:48
209,2026-02-11 10:30:48
210,2026-02-11 10:30:48
211,2026-02-11 10:30:48
212,2026-02-11 10:30:48
213,2026-02-11 10:30:48
214,2026-02-11 10:30:48
