frame,timestamp,ID_1_x,ID_1_y,ID_1_dim1
1,2026-02-11 11:21:28,587.8930821941767,607.1395301679507,0.0
2,2026-02-11 11:21:28,588.2045247184136,607.0720783323516,0.0
3,2026-02-11 11:21:28,587.890105869369,606.8416373102439,0.0
4,2026-02-11 11:21:28,588.2015480037793,606.7742594650509,0.0
5,2026-02-11 11:21:28,587.8930821941767,607.1395301679507,0.0
6,2026-02-11 11:21:28,587.8930821941767,607.1395301679507,0.0
7,2026-02-11 11:21:28,587.8930821941767,607.1395301679507,0.0
8,2026-02-11 11:21:28,587.890105869369,606.8416373102439,0.0
9,2026-02-11 11:21:28,587.2667586527691,606.9764931554269,0.0
10,2026-02-11 11:21:28,588.2045247184136,607.0720783323516,0.0
11,2026-02-11 11:21:28,587.8930821941767,607.1395301679507,0.0
12,2026-02-11 11:21:28,588.2045247184136,607.0720783323516,0.0
13,2026-02-11 11:21:28,587.890105869369,606.8416373102439,0.0
14,2026-02-11 11:21:29,587.5785094572536,606.9090485321003,0.0
15,2026-02-11 11:21:29,588.1985713106815,606.4764427524669,0.0
16,2026-02-11 11:21:29,587.5785094572536,606.9090485321003,0.0
17,2026-02-11 11:21:29,588.2045247184136,607.0720783323516,0.0
18,2026-02-11 11:21:29,588.5217673507692,607.6001561736994,0.0
19,2026-02-11 11:21:29,588.5158130787456,607.0046598853797,0.0
20,2026-02-11 11:21:29,587.8930821941767,607.1395301679507,0.0
21,2026-02-11 11:21:29,587.5814853914833,607.2070154169866,0.0
22,2026-02-11 11:21:29,587.5785094572536,606.9090485321003,0.0
23,2026-02-11 11:21:29,587.890105869369,606.8416373102439,0.0
24,2026-02-11 11:21:29,587.890105869369,606.8416373102439,0.0
25,2026-02-11 11:21:29,588.2015480037793,606.7742594650509,0.0
26,2026-02-11 11:21:29,588.2015480037793,606.7742594650509,0.0
27,2026-02-11 11:21:29,588.5128359750353,606.7069149717395,0.0
28,2026-02-11 11:21:30,588.1985713106815,606.4764427524669,0.0
29,2026-02-11 11:21:30,588.1985713106815,606.4764427524669,0.0
30,2026-02-11 11:21:30,588.2015480037793,606.7742594650509,0.0
31,2026-02-11 11:21:30,588.2015480037793,606.7742594650509,0.0
32,2026-02-11 11:21:30,588.2015480037793,606.7742594650509,0.0
33,2026-02-11 11:21:30,588.2045247184136,607.0720783323516,0.0
34,2026-02-11 11:21:30,588.2015480037793,606.7742594650509,0.0
35,2026-02-11 11:21:30,588.2045247184136,607.0720783323516,0.0
36,2026-02-11 11:21:30,588.2015480037793,606.7742594650509,0.0
37,2026-02-11 11:21:30,587.890105869369,606.8416373102439,0.0
38,2026-02-11 11:21:30,588.2045247184136,607.0720783323516,0.0
39,2026-02-11 11:21:30,588.5158130787456,607.0046598853797,0.0
40,2026-02-11 11:21:30,588.2045247184136,607.0720783323516,0.0
41,2026-02-11 11:21:30,587.8960585405237,607.4374251814666,0.0
42,2026-02-11 11:21:31,588.2045247184136,607.0720783323516,0.0
43,2026-02-11 11:21:31,587.5785094572536,606.9090485321003,0.0
44,2026-02-11 11:21:31,587.8871295661003,606.5437466083226,0.0
45,2026-02-11 11:21:31,588.2075014545846,607.3698993543925,0.0
46,2026-02-11 11:21:31,587.5785094572536,606.9090485321003,0.0
47,2026-02-11 11:21:31,587.2667586527691,606.9764931554269,0.0
48,2026-02-11 11:21:31,587.5814853914833,607.2070154169866,0.0
49,2026-02-11 11:21:31,587.2667586527691,606.9764931554269,0.0
50,2026-02-11 11:21:31,588.2015480037793,606.7742594650509,0.0
51,2026-02-11 11:21:31,588.2015480037793,606.7742594650509,0.0
52,2026-02-11 11:21:31,588.2015480037793,606.7742594650509,0.0
53,2026-02-11 11:21:31,587.8930821941767,607.1395301679507,0.0
54,2026-02-11 11:21:31,588.2015480037793,606.7742594650509,0.0
55,2026-02-11 11:21:31,588.1985713106815,606.4764427524669,0.0
56,2026-02-11 11:21:32,588.2075014545846,607.3698993543925,0.0
57,2026-02-11 11:21:32,588.5158130787456,607.0046598853797,0.0
58,2026-02-11 11:21:32,588.2015480037793,606.7742594650509,0.0
59,2026-02-11 11:21:32,587.8930821941767,607.1395301679507,0.0
60,2026-02-11 11:21:32,587.8930821941767,607.1395301679507,0.0
61,2026-02-11 11:21:32,588.2045247184136,607.0720783323516,0.0
62,2026-02-11 11:21:32,588.2015480037793,606.7742594650509,0.0
63,2026-02-11 11:21:32,588.5187902039902,607.302406952692,0.0
64,2026-02-11 11:21:32,587.8990349084102,607.7353223508151,0.0
65,2026-02-11 11:21:32,588.5187902039902,607.302406952692,0.0
66,2026-02-11 11:21:32,587.5814853914833,607.2070154169866,0.0
67,2026-02-11 11:21:32,587.890105869369,606.8416373102439,0.0
68,2026-02-11 11:21:32,587.8990349084102,607.7353223508151,0.0
69,2026-02-11 11:21:32,587.8871295661003,606.5437466083226,0.0
70,2026-02-11 11:21:32,587.8930821941767,607.1395301679507,0.0
71,2026-02-11 11:21:33,587.2697341956683,607.274534104293,0.0
72,2026-02-11 11:21:33,588.2075014545846,607.3698993543925,0.0
73,2026-02-11 11:21:33,587.2697341956683,607.274534104293,0.0
74,2026-02-11 11:21:33,588.5158130787456,607.0046598853797,0.0
75,2026-02-11 11:21:33,587.890105869369,606.8416373102439,0.0
76,2026-02-11 11:21:33,588.5158130787456,607.0046598853797,0.0
77,2026-02-11 11:21:33,588.2015480037793,606.7742594650509,0.0
78,2026-02-11 11:21:33,588.5158130787456,607.0046598853797,0.0
79,2026-02-11 11:21:33,588.5158130787456,607.0046598853797,0.0
80,2026-02-11 11:21:33,588.5158130787456,607.0046598853797,0.0
81,2026-02-11 11:21:33,588.5128359750353,606.7069149717395,0.0
82,2026-02-11 11:21:33,588.5128359750353,606.7069149717395,0.0
83,2026-02-11 11:21:33,588.2045247184136,607.0720783323516,0.0
84,2026-02-11 11:21:33,588.2045247184136,607.0720783323516,0.0
85,2026-02-11 11:21:34,587.5814853914833,607.2070154169866,0.0
86,2026-02-11 11:21:34,587.8930821941767,607.1395301679507,0.0
87,2026-02-11 11:21:34,587.5814853914833,607.2070154169866,0.0
88,2026-02-11 11:21:34,588.5158130787456,607.0046598853797,0.0
89,2026-02-11 11:21:34,588.2015480037793,606.7742594650509,0.0
90,2026-02-11 11:21:34,587.8930821941767,607.1395301679507,0.0
91,2026-02-11 11:21:34,588.2015480037793,606.7742594650509,0.0
92,2026-02-11 11:21:34,587.2667586527691,606.9764931554269,0.0
93,2026-02-11 11:21:34,588.2015480037793,606.7742594650509,0.0
94,2026-02-11 11:21:34,587.5785094572536,606.9090485321003,0.0
95,2026-02-11 11:21:34,588.1985713106815,606.4764427524669,0.0
96,2026-02-11 11:21:34,587.5874373245682,607.8029556574193,0.0
97,2026-02-11 11:21:34,588.2045247184136,607.0720783323516,0.0
98,2026-02-11 11:21:34,588.5158130787456,607.0046598853797,0.0
99,2026-02-11 11:21:35,588.5158130787456,607.0046598853797,0.0
