frame;ID_6_x;ID_6_y;ID_8_x;ID_8_y
1;;;;
2;;;;
3;;;;
4;;;;
5;;;;
6;;;;
7;;;;
8;;;;
9;;;;
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
16;160.23719027702083;460.2937873457042;;
17;159.90726722095974;460.10338021947797;;
18;160.1148999326375;460.1670338736177;;
19;160.9874695326304;460.20470238894524;;
20;160.81703143522344;460.23289328377143;;
21;161.44385500931125;460.24751100554516;;
22;160.89906953580655;460.2693040059219;;
23;160.75957143728795;460.27488433480625;;
24;159.9310436693446;460.28222858959674;;
25;160.13035462408766;460.2832853141949;;
26;160.997515082073;460.28026582532044;;
27;160.7104909165484;460.28314291727696;;
28;160.63699533477012;460.28387962718705;;
29;159.85136920270799;460.28807552964423;;
30;158.60261788703363;460.29450922610465;;
31;159.22266265974972;460.5805554074286;;
32;159.67352787849552;460.7661763224458;;
33;160.71127487151037;461.4608030007031;;
34;160.65558809641337;462.4938456809258;;
35;161.34961401315695;462.58378808371504;;
36;160.87100678902806;462.1952976211313;;
37;160.74133065188192;461.52678018469237;;
38;161.39464950013925;461.0885374911438;;
39;161.08169841410418;460.8073861002005;;
40;161.22912470428764;460.7924206761628;;
41;160.97772820744518;460.903888747123;;
42;160.0691819346929;460.40201743172366;;
43;158.74790786326326;460.6576461694876;;
44;159.27804540114718;460.25711057252647;319.74835205078125;266.581787109375
45;159.70590574975932;460.2669586030992;319.74835205078125;266.581787109375
46;160.72162331375958;460.2696534631083;319.74815979003904;267.17032928466796
47;160.6442313929574;460.2751114819774;319.7482270812988;266.9643395233154
48;161.33153498183833;460.27495283437906;319.74807855987547;267.4189883537292
49;160.85161432419926;460.2808981786043;319.7482365008736;266.9355046351146
50;160.7287255497432;460.2824205470498;319.7482769433413;266.81170350110574
51;159.9109938424405;460.28712712755504;319.74811097020313;267.319774939293
52;158.64137390285975;460.2938927647467;319.7481953484055;267.0614791988217
53;159.23541616579172;460.29131637584476;319.7481608745451;267.1670094311067
54;159.67819674677827;460.2891923752561;319.74822778622774;266.9621816185006
55;160.70361246182188;460.28410541501023;319.74846353956366;266.2403304665762
56;160.5863170594923;460.2847651439209;319.7485599061346;265.96637765008256
57;160.55628232768368;460.2849340745056;319.7483910263898;266.47605807020994
58;161.2743680894104;460.2813375195224;319.74828125455576;266.80735034329274
59;161.00351549713042;460.2827061186466;319.7482099028636;267.0226903207965
60;161.1960924218662;460.5707433839563;319.74822950854485;266.95935533729437
61;160.95625722387123;460.7597985071888;319.7482723983276;266.8272064575226
62;160.05522579536984;460.30835877576646;319.7481080159441;267.3298518609639
63;160.2146939166486;460.5892485118654;319.74819342813714;267.0680291979078
64;159.8977625087025;460.22821256218106;319.38304623266527;267.16582477935333
65;160.1087218696703;460.2481748963747;319.14578943843946;266.95745956849373
66;160.9834537917017;460.2574440537373;319.72198176291533;266.2412452038959
67;160.81442120361976;460.26717536588626;319.36639660536764;265.1788003493292
68;161.44215835876886;460.26979435891985;319.86537642141866;265.085116711439
69;160.90197361159693;460.56769729938287;319.56056912410895;265.47566853665717
70;160.7650799971962;460.75781855221607;319.6261970180732;266.1570971464834
71;159.94563116077518;461.46309292319825;319.6688551491499;266.60002574287046
72;160.14345740416206;461.33982570769604;319.6965829343498;266.88792933052207
73;160.83605013008952;461.2917255466822;319.7263209839766;267.1967059282784
74;160.71860882357186;460.93945833630045;319.73393572698717;267.2757714510372
75;161.3798803117377;460.70677828968905;319.738885309944;267.32716404083044
76;161.07209844164316;460.5592426192549;319.742102538866;267.360569224196
