frame,timestamp,ID_8_x,ID_8_y,ID_6_x,ID_6_y
1,2026-05-13 13:33:29,,,,
2,2026-05-13 13:33:29,,,,
3,2026-05-13 13:33:30,,,,
4,2026-05-13 13:33:30,,,,
5,2026-05-13 13:33:30,,,,
6,2026-05-13 13:33:30,,,,
7,2026-05-13 13:33:30,,,,
8,2026-05-13 13:33:30,,,,
9,2026-05-13 13:33:30,,,,
10,2026-05-13 13:33:30,,,,
11,2026-05-13 13:33:30,,,,
12,2026-05-13 13:33:30,,,,
13,2026-05-13 13:33:30,,,,
14,2026-05-13 13:33:30,,,,
15,2026-05-13 13:33:30,,,,
16,2026-05-13 13:33:30,,,,
17,2026-05-13 13:33:30,,,,
18,2026-05-13 13:33:30,,,,
19,2026-05-13 13:33:30,,,,
20,2026-05-13 13:33:30,,,,
21,2026-05-13 13:33:30,,,,
22,2026-05-13 13:33:30,,,,
23,2026-05-13 13:33:30,,,,
24,2026-05-13 13:33:30,,,,
25,2026-05-13 13:33:30,,,,
26,2026-05-13 13:33:30,,,,
27,2026-05-13 13:33:30,,,,
28,2026-05-13 13:33:30,,,,
29,2026-05-13 13:33:30,,,,
30,2026-05-13 13:33:31,,,,
31,2026-05-13 13:33:31,,,,
32,2026-05-13 13:33:31,,,,
33,2026-05-13 13:33:31,,,,
34,2026-05-13 13:33:31,,,,
35,2026-05-13 13:33:31,,,,
36,2026-05-13 13:33:31,,,,
37,2026-05-13 13:33:31,,,,
38,2026-05-13 13:33:31,,,,
39,2026-05-13 13:33:31,,,,
40,2026-05-13 13:33:31,,,,
41,2026-05-13 13:33:31,,,,
42,2026-05-13 13:33:31,,,,
43,2026-05-13 13:33:31,,,,
44,2026-05-13 13:33:31,,,,
45,2026-05-13 13:33:31,,,,
46,2026-05-13 13:33:31,,,,
47,2026-05-13 13:33:31,,,,
48,2026-05-13 13:33:31,227.6843719482422,173.4145965576172,342.4084777832031,380.7642517089844
49,2026-05-13 13:33:31,227.6843719482422,173.4145965576172,342.4084777832031,380.7642517089844
50,2026-05-13 13:33:31,227.6843719482422,173.4145965576172,342.4084777832031,380.7642517089844
51,2026-05-13 13:33:31,226.93341751098635,172.79888153076172,342.4084777832031,380.7642517089844
52,2026-05-13 13:33:31,227.19625156402589,173.01438179016114,342.4084777832031,380.7642517089844
53,2026-05-13 13:33:32,226.9900207016945,172.84529105091096,342.4084777832031,380.7642517089844
54,2026-05-13 13:33:32,227.2330436379862,173.04454797825815,342.4084777832031,380.7642517089844
55,2026-05-13 13:33:32,226.6486043717711,173.7623187652135,342.4084777832031,380.7642517089844
56,2026-05-13 13:33:32,227.01112302353602,173.64061599255479,342.4084777832031,380.7642517089844
57,2026-05-13 13:33:32,226.9173615639308,173.8924547285951,342.4084777832031,380.7642517089844
58,2026-05-13 13:33:32,227.1858151984398,173.72520436875283,342.4084777832031,380.7642517089844
59,2026-05-13 13:33:32,226.6093556236148,173.00077660799988,342.4084777832031,380.7642517089844
60,2026-05-13 13:33:32,226.9772533355254,171.941527286655,342.4084777832031,380.7642517089844
